Rainfall - (MM), Year,Month, Country, ISO3
268.739,1976,7, India, IND
276.84,1976,8, India, IND
150.961,1976,9, India, IND
30.7762,1976,10, India, IND
55.0629,1976,11, India, IND
3.47751,1976,12, India, IND
11.2338,1977,1, India, IND
8.42793,1977,2, India, IND
10.6356,1977,3, India, IND
55.1804,1977,4, India, IND
76.9421,1977,5, India, IND
183.346,1977,6, India, IND
288.698,1977,7, India, IND
226.28,1977,8, India, IND
140.517,1977,9, India, IND
83.2403,1977,10, India, IND
63.5909,1977,11, India, IND
10.0641,1977,12, India, IND
8.53474,1978,1, India, IND
26.0807,1978,2, India, IND
25.1243,1978,3, India, IND
30.0211,1978,4, India, IND
57.3053,1978,5, India, IND
195.25,1978,6, India, IND
264.613,1978,7, India, IND
269.5,1978,8, India, IND
165.041,1978,9, India, IND
49.5294,1978,10, India, IND
42.4927,1978,11, India, IND
21.239,1978,12, India, IND
16.3269,1979,1, India, IND
28.6555,1979,2, India, IND
10.3827,1979,3, India, IND
23.0646,1979,4, India, IND
43.3227,1979,5, India, IND
149.83,1979,6, India, IND
218.646,1979,7, India, IND
225.893,1979,8, India, IND
149.015,1979,9, India, IND
